time,altitude,rc_ele,rc_thr,rc_rud,tx_ele,tx_thr,tx_rud,acc_X,acc_Y,acc_Z,gyro_pitch,gyro_roll,gyro_yaw
29.133438,1.96,-247,1849,-355,1185,2011,1097,-518,-838,-782,122.82982771812891,-2.548163756452044,-64.50596532390335
29.134455,1.96,-245,1849,-354,1203,2011,1108,-502,-812,-854,123.86251673472384,-4.113772864449988,-64.06060997813364
29.13545,1.96,-243,1849,-352,1203,2011,1108,-488,-793,-943,124.84941593924943,-5.684769994967458,-63.616099453344
29.136452,1.96,-241,1849,-350,1203,2011,1108,-479,-780,-1048,125.78789855696287,-7.259369059202006,-63.173067552738004
29.137453,1.96,-239,1849,-347,1203,2011,1108,-476,-768,-1174,126.67534302747988,-8.835740955963379,-62.73213458699963
29.138455,1.96,-236,1849,-345,1203,2011,1108,-476,-759,-1321,127.50914230931411,-10.412020465925988,-62.293906673071795
29.139455,1.96,-234,1849,-343,1203,2011,1108,-480,-754,-1487,128.2867132750219,-11.986313303292011,-61.85897502487541
29.140455,1.96,-233,1849,-342,1203,2011,1108,-488,-755,-1668,129.00550615339364,-13.556703296203722,-61.42791524278591
29.141458,1.96,-231,1849,-341,1203,2011,1108,-497,-766,-1857,129.66301397764542,-15.121259667788783,-61.001286609887565
29.14246,1.96,-230,1849,-340,1203,2011,1108,-505,-784,-2045,130.256782000938,-16.678044388544574,-60.57963140347018
29.143462,1.96,-230,1849,-339,1203,2011,1108,-511,-803,-2223,130.78441704233944,-18.225119567961535,-60.16347422995972
29.144466,1.96,-228,1849,-338,1223,2011,1121,-517,-823,-2385,131.24359672749944,-19.76055484933266,-59.75332139063967
29.145462,1.96,-225,1849,-336,1223,2011,1121,-523,-844,-2529,131.6320785891707,-21.282434767578714,-59.34966028432409
29.146465,1.96,-222,1849,-333,1223,2011,1121,-530,-871,-2652,131.94770899379228,-22.788866026955265,-58.952958851778455
29.147464,1.96,-220,1849,-331,1223,2011,1121,-536,-905,-2758,132.18843186197043,-24.277984654738233,-58.56366506531155
29.148466,1.96,-217,1849,-329,1223,2011,1121,-545,-942,-2848,132.3522971529883,-25.747962988456194,-58.18220646570882
29.149466,1.96,-215,1849,-327,1223,2011,1121,-554,-976,-2924,132.43746908647896,-27.197016457006768,-57.808989747587106
29.150472,1.96,-213,1849,-325,1223,2011,1121,-561,-1004,-2988,132.4422340779589,-28.62341011895451,-57.444400393247214
29.151471,1.96,-212,1849,-324,1223,2011,1121,-564,-1025,-3039,132.36500836865918,-30.02546492397985,-57.088802354085544
29.152474,1.96,-210,1849,-323,1223,2011,1121,-564,-1043,-3076,132.20434533354455,-31.40156366602856,-56.7425377775689
29.153479,1.96,-208,1849,-321,1251,2011,1144,-561,-1061,-3098,131.95894245416503,-32.75015659952377,-56.405926776733054
29.154477,1.96,-205,1849,-317,1251,2011,1144,-553,-1081,-3105,131.6276479447902,-34.06976669305887,-56.07926723824268
29.155476,1.96,-201,1849,-313,1251,2011,1144,-537,-1099,-3099,131.20946702112386,-35.35899449800567,-55.76283466434315
29.156477,1.96,-197,1849,-309,1251,2011,1144,-510,-1114,-3083,130.70356780099766,-36.616522612082775,-55.456882043588024
29.157478,1.96,-194,1849,-306,1251,2011,1144,-475,-1117,-3059,130.10928682616446,-37.84111971985128,-55.16163974505535
29.15848,1.96,-191,1849,-303,1251,2011,1144,-429,-1107,-3031,129.4261341939506,-39.03164419321313,-54.8773154308622
29.159483,1.96,-189,1849,-300,1251,2011,1144,-372,-1081,-3001,128.65379828716044,-40.18704723533977,-54.60409398213288
29.160482,1.96,-187,1849,-298,1251,2011,1144,-308,-1043,-2970,127.79215009025658,-41.30637555134395,-54.342137434192416
29.161482,1.96,-185,1849,-297,1251,2011,1144,-239,-996,-2938,126.841247079501,-42.38877352889692,-54.091584917667916
29.16249,1.96,-183,1849,-294,1280,2011,1168,-168,-940,-2906,125.80133667449526,-43.433484912300145,-53.85255260335972
29.163485,1.96,-179,1849,-290,1280,2011,1168,-92,-881,-2876,124.67285923848681,-44.439853954455245,-53.625133650114776
29.164488,1.96,-175,1849,-286,1280,2011,1168,-13,-819,-2848,123.45645061495763,-45.407326032763955,-53.409398156398176
29.16549,1.96,-172,1849,-282,1280,2011,1168,70,-753,-2822,122.15294418836486,-46.335447717125454,-53.205393117723474
29.166492,1.96,-168,1849,-279,1280,2011,1168,153,-681,-2799,120.76337245746048,-47.223866280770906,-53.01314239350558
29.167491,1.96,-165,1849,-276,1280,2011,1168,236,-602,-2776,119.28896811039685,-48.07232864762748,-52.83264668820339
29.168493,1.96,-163,1849,-273,1280,2011,1168,319,-517,-2753,117.7311645918959,-48.88067977313646,-52.66388355278656
29.169495,1.96,-161,1849,-271,1280,2011,1168,402,-429,-2731,116.09159615422578,-49.648860458889565,-52.50680741352148
29.170498,1.96,-159,1849,-270,1280,2011,1168,485,-342,-2708,114.37209738556395,-50.37690460524634,-52.36134963569676
29.171503,1.96,-157,1849,-267,1301,2011,1191,567,-259,-2682,112.57470221134326,-51.06493591055014,-52.227418630089474
29.1725,1.96,-155,1849,-264,1301,2011,1191,647,-183,-2649,110.70164236618403,-51.71316403084907,-52.10490000972207
29.173502,1.96,-152,1849,-260,1301,2011,1191,725,-115,-2611,108.75534533590795,-52.321880220060514,-51.99365680391238
29.174502,1.96,-149,1849,-256,1301,2011,1191,799,-53,-2565,106.73843177091138,-52.891452477000485,-51.89352973593163
29.175503,1.96,-147,1849,-253,1301,2011,1191,874,5,-2514,104.65371237390737,-53.422320232332154,-51.80433756983953
29.176505,1.96,-144,1849,-250,1301,2011,1191,946,59,-2456,102.50418426672498,-53.9149886150302,-51.725877531246546
29.177506,1.96,-143,1849,-248,1301,2011,1191,1012,113,-2392,100.29302684238881,-54.3700223441265,-51.657925805828526
29.17851,1.96,-141,1849,-246,1301,2011,1191,1070,166,-2323,98.02359711002893,-54.7880392970205,-51.60023811839187
29.179509,1.96,-140,1849,-244,1301,2011,1191,1120,214,-2249,95.69942454131262,-55.169703810299694,-51.55255039415858
29.180514,1.96,-139,1849,-242,1315,2011,1207,1163,257,-2171,93.32420542809797,-55.51571977267976,-51.51457950268678
29.181509,1.96,-137,1849,-240,1315,2011,1207,1202,293,-2093,90.90179676185444,-55.82682357232792,-51.48602408347761
29.182513,1.96,-135,1849,-237,1315,2011,1207,1236,320,-2016,88.43620964598392,-56.10377696261356,-51.46656545090976
29.183512,1.96,-134,1849,-234,1315,2011,1207,1260,339,-1941,85.93160225243616,-56.347359911400176,-51.45586857478362
29.184515,1.96,-132,1849,-232,1315,2011,1207,1281,353,-1868,83.39227233394436,-56.55836349948739,-51.45358313154962
